lat,lon,date,hour,total_count,occupied_count,occupancy_rate
-37.82026702060972,144.94602948689106,2025-08-03,6,1,0,0.0
-37.82026077006425,144.9397333648914,2025-08-02,11,1,1,1.0
-37.82026048159719,144.9439810491996,2025-08-02,13,1,0,0.0
-37.820245136840896,144.9396681383507,2025-08-03,12,1,0,0.0
-37.82024151131429,144.94537361877752,2025-08-03,9,1,1,1.0
-37.820240787126615,144.95569529602255,2025-08-03,8,1,1,1.0
-37.82023925900832,144.94731446996258,2024-12-24,22,1,0,0.0
-37.82023275888777,144.95481596362043,2025-04-14,2,1,1,1.0
-37.820229451968544,144.93960268554343,2025-08-02,7,1,0,0.0
-37.820218307476466,144.9545594873518,2025-04-14,2,1,1,1.0
-37.82020943094864,144.94395853447838,2025-08-03,12,1,0,0.0
-37.82020659171873,144.9471070440767,2024-12-24,14,1,0,0.0
-37.820205691514495,144.9460135602858,2025-08-03,8,1,0,0.0
-37.820201470413465,144.94223168811772,2025-08-03,0,1,1,1.0
-37.82018292369378,144.94229570439836,2024-09-17,0,1,1,1.0
-37.82017773180296,144.93938718972916,2025-08-03,6,1,0,0.0
-37.8201668549864,144.95453587450794,2025-01-22,6,1,0,0.0
-37.82016441419583,144.9423597136809,2025-08-03,9,1,0,0.0
-37.8201632891837,144.94866249907489,2024-12-25,3,1,0,0.0
-37.82016212885024,144.93932207496923,2025-08-01,20,1,0,0.0
-37.82015466628,144.9472802015655,2024-12-13,11,1,0,0.0
-37.82014593555493,144.9424237400629,2025-08-02,15,1,1,1.0
-37.82014498046749,144.93925031048207,2025-08-03,5,1,0,0.0
-37.820142626566124,144.94599901947242,2025-08-03,7,1,0,0.0
-37.82012786376523,144.93917896948417,2025-07-31,1,1,0,0.0
-37.820119662138126,144.94707022587994,2024-12-12,3,1,0,0.0
-37.82011525241861,144.94315177527164,2025-08-03,10,1,1,1.0
-37.82011429509811,144.95451180212012,2025-04-14,0,1,1,1.0
-37.82010620216919,144.94866027663673,2024-12-25,3,1,0,0.0
-37.82009732548086,144.94321334901133,2025-08-03,11,1,1,1.0
-37.8200900829024,144.95568629843393,2025-08-03,11,1,0,0.0
-37.82008789716498,144.95730555908776,2023-11-28,23,1,1,1.0
-37.82008607174822,144.94725504284366,2024-12-21,6,1,0,0.0
-37.82007954406505,144.94295514308766,2025-08-03,9,1,1,1.0
-37.82007901039151,144.9432762558655,2025-08-03,12,1,0,0.0
-37.820071479458605,144.94298286916285,2025-08-03,11,1,0,0.0
-37.82006341848805,144.94301059304897,2025-08-03,9,1,0,0.0
-37.82006030671869,144.943340494092,2025-08-03,11,1,0,0.0
