location,weekday,hour,Present,unoccupied_rate
"-37.804981358709085, 144.94869750073525",Sunday,13,0.0,1.0
"-37.80498451133013, 144.9487256132852",Sunday,13,0.0,1.0
"-37.80498763699151, 144.948753723206",Sunday,9,1.0,0.0
"-37.804990182314754, 144.9586637442418",Friday,11,0.0,1.0
"-37.80499480404235, 144.9591846617755",Sunday,11,0.0,1.0
"-37.805035477782795, 144.95733966527166",Sunday,9,0.0,1.0
"-37.805040594246165, 144.9598249788204",Thursday,21,1.0,0.0
"-37.805040957078404, 144.95868712534042",Tuesday,21,0.0,1.0
"-37.80504385251781, 144.94832374754162",Thursday,7,0.0,1.0
"-37.8050455821287, 144.95920805754236",Wednesday,0,1.0,0.0
"-37.80504657895022, 144.96155226512576",Sunday,22,0.0,1.0
"-37.80504702586939, 144.94835121552725",Thursday,7,0.0,1.0
"-37.80505021640502, 144.94837932386784",Thursday,6,0.0,1.0
"-37.805053375847955, 144.9484077164504",Thursday,6,0.0,1.0
"-37.80505653600164, 144.94843582479643",Thursday,6,0.0,1.0
"-37.80505969380327, 144.94846394844632",Friday,8,0.0,1.0
"-37.80506180537941, 144.95733500218114",Sunday,11,0.0,1.0
"-37.80506285277592, 144.94849204152175",Thursday,6,0.0,1.0
"-37.805065616316924, 144.94852001231618",Thursday,6,0.0,1.0
"-37.80507230238178, 144.94857670798694",Thursday,6,0.0,1.0
"-37.80507544979444, 144.94860444949109",Thursday,6,0.0,1.0
"-37.805078584473186, 144.94863255977103",Thursday,7,0.0,1.0
"-37.80508173668994, 144.9486606766646",Thursday,6,0.0,1.0
"-37.805084823715234, 144.94868878910142",Thursday,7,0.0,1.0
"-37.805087958354314, 144.94871661818752",Thursday,6,0.0,1.0
"-37.805088125799216, 144.95733033851928",Sunday,10,1.0,0.0
"-37.805089616110834, 144.95870953227987",Wednesday,0,0.0,1.0
"-37.80509110335517, 144.94874473264417",Thursday,6,0.0,1.0
"-37.80509422812224, 144.94877284569418",Thursday,8,0.0,1.0
"-37.805096352997225, 144.95923156155152",Wednesday,3,1.0,0.0
"-37.805096996494115, 144.94880084548276",Thursday,7,0.0,1.0
"-37.80514076384679, 144.95732101125913",Friday,5,1.0,0.0
"-37.80516708394305, 144.95731635270747",Sunday,11,0.0,1.0
"-37.80519340002496, 144.9573116969779",Sunday,10,0.0,1.0
"-37.80519387665643, 144.95719867677056",Friday,8,1.0,0.0
"-37.80521972507455, 144.9573070430717",Sunday,10,0.0,1.0
"-37.80521974641346, 144.95719414016145",Sunday,10,0.0,1.0
"-37.805245616630344, 144.9571896030061",Sunday,10,0.0,1.0
"-37.80527148638663, 144.9571850658472",Thursday,10,1.0,0.0
"-37.80527235407395, 144.95729773123446",Sunday,11,0.0,1.0
"-37.80529735614254, 144.95718052798065",Sunday,11,0.0,1.0
"-37.80529868675903, 144.95729308004707",Sunday,10,0.0,1.0
"-37.80532191417731, 144.9571762259662",Sunday,11,0.0,1.0
"-37.805325383750784, 144.95728837155994",Sunday,11,0.0,1.0
"-37.80533675890813, 144.9552423088943",Sunday,3,0.0,1.0
"-37.80535905739307, 144.95523830061256",Saturday,0,0.0,1.0
